env,arm,joint,window,n_samples,mae_deg,rms_deg,p95_deg,max_deg,bias_deg
physical,left,elbow,all_samples,18110,0.7685088517519387,1.1397622011526183,2.347154099359291,11.267312028715079,-0.08158433358518803
physical,left,elbow,steady_state,355,0.1769354186886215,0.204414348236608,0.3387742672187574,0.5926650109911904,0.015097430381269709
physical,left,shoulder_pitch,all_samples,18110,0.7882401866267332,1.1269644993385164,2.3155020348044,10.018233027335363,-0.2411322759549284
physical,left,shoulder_pitch,steady_state,720,0.3660365269265371,0.44234125598833474,0.7907443419094319,1.0318697852368217,-0.32848149176616875
physical,left,shoulder_roll,all_samples,18110,0.9268780502831464,1.7163876800542615,3.726917243061336,16.243485364436438,0.300357967011806
physical,left,shoulder_roll,steady_state,1763,0.2406144017319913,0.4116006921822702,0.5327558116635372,3.997837976754865,0.0012860861478662874
physical,left,shoulder_yaw,all_samples,18110,0.5137575466706849,0.9303048855621568,1.5735122896283136,14.022650604827017,0.05466251356320787
physical,left,shoulder_yaw,steady_state,2206,0.13126174517649963,0.158651230381532,0.2960753855743228,0.4399047089008903,0.034687568143286225
physical,left,wrist_roll,all_samples,18110,0.8708469056772576,2.1425569592735965,2.2280261069092244,59.90216336169969,-0.14589992634583468
physical,left,wrist_roll,steady_state,956,0.3228601628080694,0.3921545272210687,0.7522419432689054,1.0560976816448973,-0.10667513691388199
physical,right,elbow,all_samples,18110,0.8673912933557777,1.4312318664361527,2.456566936670688,34.846007773774716,0.054036350264090295
physical,right,elbow,steady_state,259,0.2209312088541685,0.26186783334490993,0.5303508785489388,0.6087134774109104,0.00804461799802604
physical,right,shoulder_pitch,all_samples,18110,0.8381779661313501,1.2353190837269357,2.333438944445812,16.553076508025164,-0.10834185756574885
physical,right,shoulder_pitch,steady_state,580,0.27173843268530024,0.32687254238568275,0.5683118018658463,0.8248195434635051,-0.18153934921233014
physical,right,shoulder_roll,all_samples,18110,0.5449053093803169,0.9166518297510006,1.619325404631096,12.781912233955403,-0.02402290489279231
physical,right,shoulder_roll,steady_state,2127,0.1903211028925739,0.23134575184729178,0.42797343240019886,0.7060558777630139,0.009655629141992736
physical,right,shoulder_yaw,all_samples,18110,0.5665822793009253,0.8893585107241632,1.5838979428072968,11.656475933476196,0.06046652492913041
physical,right,shoulder_yaw,steady_state,1777,0.21927145056519046,0.2772282377370712,0.5548997962126277,0.8787837708771633,0.04015323385790654
physical,right,wrist_roll,all_samples,18110,0.7501442597611502,1.2778886855746743,1.8859194077444315,24.864788037749907,-0.10905203325460586
physical,right,wrist_roll,steady_state,1265,0.41276409508556255,0.4682495623284173,0.7642928164879956,0.9475730635638313,-0.1776585177573373
sim,left,elbow,all_samples,153,2.1160818714577356,3.221007345156332,6.457765515616445,14.108295203560619,2.1160818714577356
sim,left,elbow,steady_state,107,1.3240975115655562,1.3293374362295614,1.6208089674856232,1.7966394013211833,1.3240975115655562
sim,left,shoulder_pitch,all_samples,153,1.4508323139249055,3.542858046967779,9.659391970204423,14.467263497875976,-1.4508323139249055
sim,left,shoulder_pitch,steady_state,107,0.2166887928511737,0.2949669672945946,0.6672821633692211,0.982286295357742,-0.2166887928511737
sim,left,shoulder_roll,all_samples,153,0.6076525672195565,0.6269811220545745,1.0205555124336692,1.1907067876492508,-0.6076525672195565
sim,left,shoulder_roll,steady_state,123,0.5653959203983763,0.5679476777738605,0.6692637781610534,0.8417678108380887,-0.5653959203983763
sim,left,shoulder_yaw,all_samples,153,0.39178603223560143,0.8308153177302607,1.9878964912515957,3.6029326087876443,0.3459194016258379
sim,left,shoulder_yaw,steady_state,123,0.1954703623047195,0.3149027538781793,0.8092534063719582,1.1562736004263452,0.14915897227783237
sim,left,wrist_roll,all_samples,153,0.4216163443043747,0.4443582351086258,0.5491634913190203,0.5913211308580184,-0.4216163443043747
sim,left,wrist_roll,steady_state,123,0.42076598629865797,0.44328016670411896,0.5478172280265626,0.5529518578569094,-0.42076598629865797
sim,right,elbow,all_samples,153,2.081679568730359,3.2096474705951077,6.436763219035235,14.142168459501105,2.081679568730359
sim,right,elbow,steady_state,107,1.2870659094975243,1.294943712484073,1.6176101606291717,1.830041348815735,1.2870659094975243
sim,right,shoulder_pitch,all_samples,153,1.444238709730838,3.5447356089184696,9.654159805759209,14.50551353663852,-1.444238709730838
sim,right,shoulder_pitch,steady_state,107,0.2102992068603335,0.28763162053399144,0.6751525677938818,0.9728118566666559,-0.2102992068603335
sim,right,shoulder_roll,all_samples,153,0.6165818394698842,0.6385031624855567,1.068775545289855,1.2410120661095163,0.6165818394698842
sim,right,shoulder_roll,steady_state,123,0.5682840337401919,0.5708766608586981,0.6778268721001326,0.8600792714758481,0.5682840337401919
sim,right,shoulder_yaw,all_samples,153,0.3933127591869045,0.8285348728993462,1.9833776739097908,3.565796526609152,-0.3697109910537403
sim,right,shoulder_yaw,steady_state,123,0.19881408881587834,0.3232621982045322,0.8201243121333536,1.1610193604583676,-0.1803637278403319
sim,right,wrist_roll,all_samples,153,0.4134875588363893,0.43851334862078,0.5372971271675231,0.6423229592341831,0.4134875588363893
sim,right,wrist_roll,steady_state,123,0.4041955017150705,0.42927715622248197,0.5297048620690746,0.5352818206503004,0.4041955017150705
