session,arm,quartile,reach_lo_mm,reach_hi_mm,n_samples,ik_residual_median_mm,ik_residual_p95_mm,constant_bias_x_mm,constant_bias_y_mm,constant_bias_z_mm,median_after_bias_removal_mm
episode_0025,left,1,358.4,410.8,429,13.632724560607333,37.21016581964656,-16.67,-16.97,12.45,20.919005960379106
episode_0025,left,2,410.8,450.9,429,10.89076884334461,20.293999837201874,-16.67,-16.97,12.45,20.919005960379106
episode_0025,left,3,450.9,560.4,429,34.70863881732046,54.74680087083944,-16.67,-16.97,12.45,20.919005960379106
episode_0025,left,4,560.4,749.9,429,61.55792119316963,138.18703647900264,-16.67,-16.97,12.45,20.919005960379106
episode_0025,right,1,366.7,408.6,429,10.775328343862276,34.34588361412551,-20.06,12.65,11.49,20.866180392931504
episode_0025,right,2,408.6,451.5,429,19.019219376349906,42.33775765543796,-20.06,12.65,11.49,20.866180392931504
episode_0025,right,3,451.5,555.1,429,28.6526220559251,65.0414005598584,-20.06,12.65,11.49,20.866180392931504
episode_0025,right,4,555.1,700.2,429,54.09771331855406,102.46447299115711,-20.06,12.65,11.49,20.866180392931504
episode_0026,left,1,396.5,597.1,294,37.74956794178746,70.36991839495475,-42.06,-11.5,11.21,27.306342067836297
episode_0026,left,2,597.1,608.3,294,56.53897478639533,83.68866017731892,-42.06,-11.5,11.21,27.306342067836297
episode_0026,left,3,608.3,633.8,294,63.39013167122568,93.07034488406731,-42.06,-11.5,11.21,27.306342067836297
episode_0026,left,4,633.8,803.7,294,32.90635990748859,63.44984671209688,-42.06,-11.5,11.21,27.306342067836297
episode_0026,right,1,303.2,494.7,294,19.935418617988354,48.644748584559196,-50.4,8.1,16.01,36.755277361922
episode_0026,right,2,494.7,611.5,294,79.02915758865575,89.44105091015987,-50.4,8.1,16.01,36.755277361922
episode_0026,right,3,611.5,620.4,294,89.76621376049411,101.63615503430793,-50.4,8.1,16.01,36.755277361922
episode_0026,right,4,620.4,810.3,294,46.969393521663015,100.5064727837943,-50.4,8.1,16.01,36.755277361922
