session,date,env,included,n_samples,duration_s,has_wrist_target,arm_reference_mode,stuck_measured_frames,stuck_cmd_frames,has_per_sample_timestamps,excluded_reason
episode_0000,2026-06-22,sim,False,329,11.0,False,,0,0,False,stored as overlapping 7+7 slices of the 10-vector; not natively 5+5
episode_0001,2026-06-22,sim,False,54,1.8,False,,0,0,False,stored as overlapping 7+7 slices of the 10-vector; not natively 5+5
episode_0002,2026-06-22,sim,False,4862,162.1,False,,0,0,False,stored as overlapping 7+7 slices of the 10-vector; not natively 5+5
episode_0003,2026-06-22,sim,False,54,1.8,False,,0,0,False,stored as overlapping 7+7 slices of the 10-vector; not natively 5+5
episode_0004,2026-06-22,sim,False,278,9.3,False,,0,0,False,stored as overlapping 7+7 slices of the 10-vector; not natively 5+5
episode_0005,2026-06-22,sim,False,41,1.4,False,,0,0,False,stored as overlapping 7+7 slices of the 10-vector; not natively 5+5
episode_0006,2026-06-22,sim,False,2731,91.0,False,,0,0,False,stored as overlapping 7+7 slices of the 10-vector; not natively 5+5
episode_0007,2026-06-30,sim,False,45,1.5,False,,0,0,False,stored as overlapping 7+7 slices of the 10-vector; not natively 5+5
episode_0008,2026-07-04,sim,False,39,1.3,False,,0,0,False,stored as overlapping 7+7 slices of the 10-vector; not natively 5+5
episode_0009,2026-07-04,sim,False,36,1.2,False,,0,0,False,stored as overlapping 7+7 slices of the 10-vector; not natively 5+5
episode_0010,2026-07-04,sim,False,37,1.2,False,,0,0,False,stored as overlapping 7+7 slices of the 10-vector; not natively 5+5
episode_0011,2026-07-04,sim,False,2205,73.5,False,,0,0,False,stored as overlapping 7+7 slices of the 10-vector; not natively 5+5
episode_0012,2026-07-05,sim,False,37,1.2,False,,0,0,False,stored as overlapping 7+7 slices of the 10-vector; not natively 5+5
episode_0013,2026-07-05,sim,False,34,1.1,False,,0,0,False,stored as overlapping 7+7 slices of the 10-vector; not natively 5+5
episode_0014,2026-07-05,sim,False,37,1.2,False,,0,0,False,stored as overlapping 7+7 slices of the 10-vector; not natively 5+5
episode_0015,2026-07-05,sim,False,52,1.7,False,,0,0,False,stored as overlapping 7+7 slices of the 10-vector; not natively 5+5
episode_0016,2026-07-15,physical,False,1117,37.2,False,,0,0,False,stored as overlapping 7+7 slices of the 10-vector; not natively 5+5
episode_0017,2026-07-20,physical,False,2756,91.9,False,,0,0,False,stored as overlapping 7+7 slices of the 10-vector; not natively 5+5
episode_0018,2026-07-20,physical,False,1433,47.8,False,,0,0,False,stored as overlapping 7+7 slices of the 10-vector; not natively 5+5
episode_0019,2026-07-30,physical,False,8333,277.8,False,,0,0,False,stored as overlapping 7+7 slices of the 10-vector; not natively 5+5
episode_0020,2026-07-30,physical,False,4232,141.1,False,,0,0,False,stored as overlapping 7+7 slices of the 10-vector; not natively 5+5
episode_0021,2026-07-30,physical,False,5498,183.3,False,,0,0,False,stored as overlapping 7+7 slices of the 10-vector; not natively 5+5
episode_0022,2026-08-12,physical,True,18110,603.7,False,,1,0,False,
episode_0023,2026-08-20,sim,True,90,3.0,False,,29,29,False,
episode_0024,2026-08-20,sim,True,63,2.1,False,,21,21,False,
episode_0025,2026-08-26,physical,True,1716,57.2,True,head_yaw,0,0,False,
episode_0026,2026-08-26,physical,True,1176,39.2,True,head_yaw,0,0,False,
